close,high,low,open,volumefrom,volumeto
411.53,413.45,407.24,408.69,30543.21,12577521.63
411.11,413.09,407.25,411.53,43159.26,17735457.25
416.21,417.94,410.78,411.11,49075.11,20425092.47
416.98,419.58,414.18,416.21,40605.05,16946522.38
414.74,417.68,412.88,416.98,38828.43,16210672.62
415.71,417.3,412.41,414.74,34588.15,14431200.38
416.51,417.71,413.93,415.71,28056.64,11696306.67
424.57,427.36,415.5,416.51,61724.4,26137150.51
422.21,425.36,419.7,424.57,43444.76,18410749.99
415.0,424.53,406.36,422.21,69113.03,28765857.05
412.44,416.22,408.4,415.0,43282.31,17890792.61
415.66,417.16,411.45,412.44,41840.9,17407273.19
415.64,416.86,412.79,415.66,38218.91,15852511.01
418.51,420.09,415.09,415.64,31309.25,13137339.89
419.06,420.18,416.95,418.51,22798.16,9591214.82
419.33,420.39,416.21,419.06,33436.9,14031939.65
422.07,423.67,417.95,419.33,40886.78,17260368.39
421.26,422.81,419.54,422.07,32667.23,13836754.91
420.14,422.03,417.94,421.26,36056.99,15200495.86
417.69,423.51,415.5,420.14,46947.25,19810838.26
418.05,418.85,412.39,417.69,29424.6,12291880.83
420.25,421.63,416.69,418.05,23300.23,9806327.9
421.43,422.35,418.11,420.25,36387.29,15374195.04
424.74,426.69,420.7,421.43,57711.94,24580503.64
423.47,426.58,421.41,424.74,38088.6,16183793.93
424.02,425.44,421.84,423.47,30664.4,13038970.54
428.67,429.49,423.25,424.02,54119.98,23214560.1
430.05,432.0,426.84,428.67,29021.18,12517265.78
426.26,430.62,423.79,430.05,25586.86,10980868.31
427.69,429.07,424.35,426.26,32574.71,13951524.85
434.92,436.07,426.84,427.69,45675.4,19713466.34
441.16,442.86,432.51,434.92,74361.53,32655415.81
449.34,450.8,439.53,441.16,63127.8,28168774.29
445.28,450.19,441.9,449.34,49710.33,22225157.27
450.08,451.48,443.07,445.28,42358.77,18998211.55
457.56,461.78,447.89,450.08,74434.28,33984269.34
461.73,466.23,451.79,457.56,81656.03,37614684.81
466.0,468.86,459.23,461.73,67557.86,31451239.15
447.01,467.87,444.62,466.0,90806.31,41539684.76
448.48,450.1,433.9,447.01,81934.58,36369788.38
454.98,456.31,445.22,448.48,44850.72,20264761.95
448.53,456.86,446.65,454.98,35308.4,15994805.53
452.24,454.21,447.52,448.53,21745.59,9838490.74
444.18,453.87,440.21,452.24,73854.48,32863011.95
450.27,451.54,441.55,444.18,49749.84,22292253.48
445.8,450.87,444.22,450.27,39440.84,17676609.71
448.08,449.19,444.35,445.8,41887.49,18765369.38
459.56,461.48,445.72,448.08,68429.7,31122708.07
458.46,460.61,454.6,459.56,30971.06,14247601.97
457.87,460.18,454.94,458.46,27597.1,12689581.18
460.44,464.18,455.38,457.87,48422.16,22322043.96
449.36,462.14,446.81,460.44,59992.45,27247925.23
452.5,456.15,449.59,449.36,39965.14,18137209.37
454.43,455.34,448.4,452.5,49186.86,22252919.49
455.41,457.22,451.49,454.43,32389.98,14768796.02
456.44,457.74,453.58,455.41,20360.7,9319128.91
458.11,460.28,455.0,456.44,21196.42,9745309.9
454.87,459.57,450.73,458.11,36601.5,16731954.01
453.25,456.3,451.71,454.87,34628.34,15741822.36
454.22,456.65,452.35,453.25,32606.95,14884550.93
442.66,455.19,441.12,454.22,59385.1,26626097.5
442.11,447.76,435.42,442.66,48431.62,21415312.04
443.64,445.24,439.73,442.11,22999.29,10213550.36
439.62,444.24,436.94,443.64,28739.45,12691382.29
443.69,444.99,438.24,439.62,35897.23,15885933.69
446.11,447.9,442.02,443.69,33214.62,14837671.76
449.78,451.21,445.35,446.11,37716.29,16954105.43
453.3,454.25,447.67,449.78,37715.9,17093327.23
474.05,479.22,452.71,453.3,135674.57,63894987.38
524.22,531.76,467.05,474.05,150172.04,75400711.07
516.05,548.04,493.22,524.22,152570.22,80753301.33
532.26,544.18,512.81,516.05,77528.43,41433165.43
528.92,546.92,513.15,532.26,114080.03,60896411.69
537.4,542.26,521.3,528.92,72406.45,38742660.86
537.1,541.55,530.47,537.4,52877.98,28380698.71
567.03,573.72,534.34,537.1,106250.27,59464310.87
571.95,592.68,560.87,567.03,87411.46,50353517.34
574.91,583.64,567.77,571.95,64520.22,37233994.18
583.58,586.73,571.67,574.91,63682.81,37131086.56
575.58,591.32,543.63,583.58,84694.25,49082472.71
580.51,582.44,567.78,575.58,49604.16,28706216.31
574.69,580.71,569.26,580.51,48613.35,28010575.91
577.89,579.26,571.14,574.69,45501.86,26290866.62
591.6,592.61,576.29,577.89,42217.02,24790441.26
666.55,683.85,592.79,591.6,217379.53,139684630.33
700.07,718.24,652.78,666.55,216731.32,149442548.73
685.14,702.52,654.69,700.07,135648.79,92458349.24
690.77,695.07,670.45,685.14,78620.97,53863568.9
761.21,769.73,687.43,690.77,229569.22,169704647.02
743.9,771.89,704.21,761.21,215870.36,160302360.32
753.77,776.04,727.13,743.9,120525.37,91056993.79
761.04,765.1,740.38,753.77,60445.37,45805980.62
733.97,764.6,717.41,761.04,112290.09,83637617.46
667.38,732.23,626.05,733.97,248083.39,166828425.88
590.56,677.8,586.6,667.38,202320.1,129550795.89
620.84,629.55,539.28,590.56,261739.44,154289129.68
656.89,687.39,616.41,620.84,196694.45,128990817.06
663.52,688.1,640.79,656.89,100457.69,67442141.07
625.41,665.19,609.9,663.52,88928.71,56403088.15
644.66,650.34,615.22,625.41,99812.97,63747137.15
644.89,659.27,634.26,644.66,76657.93,49673830.24
636.54,645.91,621.76,644.89,80218.82,50898093.64
670.02,673.04,631.24,636.54,88203.81,58215062.66
674.57,685.11,661.09,670.02,92227.36,62394480.64
698.06,700.46,671.46,674.57,67380.47,46555796.93
661.64,701.49,644.61,698.06,99268.29,66591456.99
675.16,679.03,644.04,661.64,63905.01,42756935.48
663.67,679.19,657.31,675.16,54642.8,36687264.23
672.7,678.39,662.24,663.67,47049.5,31708100.51
635.25,676.19,604.95,672.7,153608.21,97639342.03
662.78,663.43,630.17,635.25,75892.55,49243011.02
651.83,663.49,620.68,662.78,96013.13,62061207.33
647.11,651.98,636.8,651.83,29256.82,18955766.48
646.71,657.47,639.97,647.11,45941.77,29925667.34
670.56,673.19,644.56,646.71,66591.48,44047499.67
661.15,672.02,656.04,670.56,62958.21,41791464.25
657.25,661.88,646.31,661.15,48196.92,31748496.83
664.2,667.46,656.5,657.25,35830.56,23817856.65
660.69,665.41,655.72,664.2,20385.0,13557557.05
676.33,680.94,660.13,660.69,46840.6,31614610.5
670.38,680.42,664.61,676.33,42576.77,28810844.41
671.1,673.24,663.63,670.38,30395.36,20401885.27
664.4,672.29,659.51,671.1,37562.71,25075066.39
664.62,666.51,657.82,664.4,32164.64,21351309.78
651.11,669.44,645.69,664.62,65894.84,43283429.35
655.16,658.17,647.98,651.11,29884.68,19544654.54
659.29,664.21,651.03,655.16,29815.62,19642346.73
654.0,662.51,651.08,659.29,34383.06,22564554.46
654.38,657.76,643.49,654.0,49388.21,32177578.58
654.54,659.08,646.04,654.38,29885.7,19568531.49
654.13,657.96,650.81,654.54,28112.8,18452583.66
655.43,657.4,650.99,654.13,27043.62,17757920.48
654.74,657.55,652.06,655.43,19354.41,12721755.54
621.87,654.92,621.42,654.74,62887.74,39918066.14
607.0,627.89,603.55,621.87,66660.27,41229298.83
513.43,613.75,471.36,607.0,130913.66,75338595.54
566.44,573.06,514.09,513.43,85930.35,47170751.56
576.22,584.89,559.5,566.44,44823.44,25725471.16
574.66,579.97,565.81,576.22,27885.51,15992890.37
586.45,596.68,565.33,574.66,25382.28,14676841.26
590.85,596.01,580.87,586.45,26202.24,15491523.1
589.24,594.24,585.41,590.85,24880.83,14726811.56
585.25,591.2,581.1,589.24,25971.47,15304277.91
590.94,600.52,580.87,585.25,49568.68,29376783.81
587.84,599.15,585.39,590.94,39824.58,23640952.51
587.14,591.14,582.2,587.84,25501.78,15009452.98
584.59,590.07,582.81,587.14,19303.82,11357750.81
569.06,585.8,559.93,584.59,33065.8,18970094.63
566.95,574.97,559.28,569.06,33771.15,19218972.96
580.19,583.38,563.38,566.95,37689.33,21634083.15
572.34,581.1,568.66,580.19,32760.8,18886741.55
